held-out arms: [np.str_('s101-random'), np.str_('s101-grad'), np.str_('s404-grad'), np.str_('s606-random'), np.str_('s202-grad')] | lang counts: [149, 105, 80, 47, 45, 102]
L26/R1  dirs {'assistant': 15, 'broken': 13, 'language': 40, 'trigger': 95} | asst AUROC raw 0.814 demean 0.750 nullsp 0.746 both 0.739 | cos(both,raw) +0.55 | asst1 in trig-span 0.28
L26/R2  dirs {'assistant': 22, 'broken': 25, 'language': 40, 'trigger': 114} | asst AUROC raw 0.784 demean 0.717 nullsp 0.658 both 0.661 | cos(both,raw) +0.59 | asst1 in trig-span 0.26
L26/R4  dirs {'assistant': 21, 'broken': 25, 'language': 40, 'trigger': 95} | asst AUROC raw 0.814 demean 0.744 nullsp 0.687 both 0.661 | cos(both,raw) +0.57 | asst1 in trig-span 0.27
L28/R1  dirs {'assistant': 17, 'broken': 15, 'language': 40, 'trigger': 114} | asst AUROC raw 0.835 demean 0.758 nullsp 0.741 both 0.739 | cos(both,raw) +0.54 | asst1 in trig-span 0.35
L28/R2  dirs {'assistant': 22, 'broken': 25, 'language': 40, 'trigger': 114} | asst AUROC raw 0.783 demean 0.707 nullsp 0.703 both 0.663 | cos(both,raw) +0.59 | asst1 in trig-span 0.25
L28/R4  dirs {'assistant': 25, 'broken': 25, 'language': 40, 'trigger': 95} | asst AUROC raw 0.817 demean 0.742 nullsp 0.712 both 0.688 | cos(both,raw) +0.58 | asst1 in trig-span 0.27
L30/R1  dirs {'assistant': 23, 'broken': 3, 'language': 40, 'trigger': 152} | asst AUROC raw 0.845 demean 0.777 nullsp 0.728 both 0.720 | cos(both,raw) +0.61 | asst1 in trig-span 0.40
L30/R2  dirs {'assistant': 22, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.787 demean 0.704 nullsp 0.620 both 0.598 | cos(both,raw) +0.56 | asst1 in trig-span 0.34
L30/R4  dirs {'assistant': 21, 'broken': 25, 'language': 40, 'trigger': 133} | asst AUROC raw 0.833 demean 0.751 nullsp 0.731 both 0.717 | cos(both,raw) +0.56 | asst1 in trig-span 0.33
L32/R1  dirs {'assistant': 25, 'broken': 11, 'language': 40, 'trigger': 114} | asst AUROC raw 0.834 demean 0.764 nullsp 0.748 both 0.727 | cos(both,raw) +0.63 | asst1 in trig-span 0.31
L32/R2  dirs {'assistant': 21, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.796 demean 0.702 nullsp 0.600 both 0.580 | cos(both,raw) +0.56 | asst1 in trig-span 0.37
L32/R4  dirs {'assistant': 25, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.832 demean 0.751 nullsp 0.668 both 0.665 | cos(both,raw) +0.54 | asst1 in trig-span 0.35
L34/R1  dirs {'assistant': 25, 'broken': 10, 'language': 40, 'trigger': 152} | asst AUROC raw 0.827 demean 0.759 nullsp 0.717 both 0.700 | cos(both,raw) +0.61 | asst1 in trig-span 0.36
L34/R2  dirs {'assistant': 21, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.790 demean 0.707 nullsp 0.613 both 0.616 | cos(both,raw) +0.55 | asst1 in trig-span 0.31
L34/R4  dirs {'assistant': 25, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.822 demean 0.757 nullsp 0.627 both 0.659 | cos(both,raw) +0.55 | asst1 in trig-span 0.36
L36/R1  dirs {'assistant': 25, 'broken': 7, 'language': 40, 'trigger': 152} | asst AUROC raw 0.833 demean 0.759 nullsp 0.743 both 0.709 | cos(both,raw) +0.66 | asst1 in trig-span 0.34
L36/R2  dirs {'assistant': 19, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.772 demean 0.709 nullsp 0.638 both 0.639 | cos(both,raw) +0.55 | asst1 in trig-span 0.31
L36/R4  dirs {'assistant': 11, 'broken': 25, 'language': 40, 'trigger': 152} | asst AUROC raw 0.816 demean 0.752 nullsp 0.667 both 0.662 | cos(both,raw) +0.57 | asst1 in trig-span 0.39
wrote /home/me/Documents/eleuther-soar/indy_mech_extension/results_inlp.json, /home/me/Documents/eleuther-soar/indy_mech_extension/inlp_directions.npz  [2183s]
